Epoch 79: duration loss = 0.416 | prior loss = 1.927 | diffusion loss = 0.120
Epoch 80: duration loss = 0.416 | prior loss = 1.928 | diffusion loss = 0.122
Epoch 81: duration loss = 0.415 | prior loss = 1.928 | diffusion loss = 0.124
Epoch 82: duration loss = 0.417 | prior loss = 1.930 | diffusion loss = 0.124
Epoch 83: duration loss = 0.416 | prior loss = 1.925 | diffusion loss = 0.124
Epoch 84: duration loss = 0.415 | prior loss = 1.930 | diffusion loss = 0.121
Epoch 85: duration loss = 0.417 | prior loss = 1.927 | diffusion loss = 0.120
Epoch 87: duration loss = 0.415 | prior loss = 1.926 | diffusion loss = 0.123
Epoch 88: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 89: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 90: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.123
Epoch 91: duration loss = 0.416 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 92: duration loss = 0.415 | prior loss = 1.925 | diffusion loss = 0.120
Epoch 93: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.121
Epoch 94: duration loss = 0.415 | prior loss = 1.929 | diffusion loss = 0.121
Epoch 95: duration loss = 0.416 | prior loss = 1.929 | diffusion loss = 0.122
Epoch 96: duration loss = 0.415 | prior loss = 1.928 | diffusion loss = 0.123
Epoch 97: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.120
Epoch 98: duration loss = 0.415 | prior loss = 1.928 | diffusion loss = 0.127
Epoch 99: duration loss = 0.417 | prior loss = 1.926 | diffusion loss = 0.126
Epoch 100: duration loss = 0.415 | prior loss = 1.925 | diffusion loss = 0.120
Epoch 101: duration loss = 0.415 | prior loss = 1.924 | diffusion loss = 0.121
Epoch 102: duration loss = 0.416 | prior loss = 1.930 | diffusion loss = 0.123
Epoch 103: duration loss = 0.415 | prior loss = 1.926 | diffusion loss = 0.124
Epoch 104: duration loss = 0.415 | prior loss = 1.925 | diffusion loss = 0.123
Epoch 105: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.125
Epoch 106: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.121
Epoch 107: duration loss = 0.414 | prior loss = 1.929 | diffusion loss = 0.118
Epoch 108: duration loss = 0.414 | prior loss = 1.927 | diffusion loss = 0.123
Epoch 109: duration loss = 0.415 | prior loss = 1.925 | diffusion loss = 0.125
Epoch 110: duration loss = 0.414 | prior loss = 1.931 | diffusion loss = 0.125
Epoch 111: duration loss = 0.414 | prior loss = 1.930 | diffusion loss = 0.123
Epoch 112: duration loss = 0.414 | prior loss = 1.926 | diffusion loss = 0.120
Epoch 113: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 114: duration loss = 0.416 | prior loss = 1.925 | diffusion loss = 0.124
Epoch 115: duration loss = 0.415 | prior loss = 1.926 | diffusion loss = 0.120
Epoch 116: duration loss = 0.414 | prior loss = 1.924 | diffusion loss = 0.119
Epoch 117: duration loss = 0.414 | prior loss = 1.926 | diffusion loss = 0.123
Epoch 118: duration loss = 0.415 | prior loss = 1.929 | diffusion loss = 0.124
Epoch 119: duration loss = 0.414 | prior loss = 1.932 | diffusion loss = 0.119
Epoch 120: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 121: duration loss = 0.414 | prior loss = 1.925 | diffusion loss = 0.118
Epoch 122: duration loss = 0.414 | prior loss = 1.926 | diffusion loss = 0.118
Epoch 123: duration loss = 0.415 | prior loss = 1.926 | diffusion loss = 0.123
Epoch 124: duration loss = 0.414 | prior loss = 1.928 | diffusion loss = 0.119
Epoch 125: duration loss = 0.413 | prior loss = 1.925 | diffusion loss = 0.123
Epoch 126: duration loss = 0.414 | prior loss = 1.933 | diffusion loss = 0.122
Epoch 127: duration loss = 0.415 | prior loss = 1.926 | diffusion loss = 0.123
Epoch 128: duration loss = 0.414 | prior loss = 1.925 | diffusion loss = 0.122
Epoch 129: duration loss = 0.414 | prior loss = 1.931 | diffusion loss = 0.121
Epoch 130: duration loss = 0.414 | prior loss = 1.929 | diffusion loss = 0.122
Epoch 131: duration loss = 0.415 | prior loss = 1.924 | diffusion loss = 0.124
Epoch 132: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.121
Epoch 133: duration loss = 0.414 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 134: duration loss = 0.413 | prior loss = 1.928 | diffusion loss = 0.124
Epoch 135: duration loss = 0.414 | prior loss = 1.923 | diffusion loss = 0.121
Epoch 136: duration loss = 0.414 | prior loss = 1.930 | diffusion loss = 0.123
Epoch 137: duration loss = 0.414 | prior loss = 1.925 | diffusion loss = 0.120
Epoch 138: duration loss = 0.414 | prior loss = 1.925 | diffusion loss = 0.119
Epoch 139: duration loss = 0.415 | prior loss = 1.927 | diffusion loss = 0.120
Epoch 140: duration loss = 0.414 | prior loss = 1.931 | diffusion loss = 0.123
Epoch 141: duration loss = 0.414 | prior loss = 1.925 | diffusion loss = 0.121
Epoch 142: duration loss = 0.413 | prior loss = 1.931 | diffusion loss = 0.126
Epoch 143: duration loss = 0.414 | prior loss = 1.926 | diffusion loss = 0.118
Epoch 144: duration loss = 0.414 | prior loss = 1.930 | diffusion loss = 0.121
Epoch 145: duration loss = 0.414 | prior loss = 1.927 | diffusion loss = 0.123
Epoch 146: duration loss = 0.412 | prior loss = 1.927 | diffusion loss = 0.119
Epoch 147: duration loss = 0.414 | prior loss = 1.929 | diffusion loss = 0.122
